timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768130014623,341,Soap Request,200,OK,Number of Users 1-4,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,341,0,0
1768130014743,374,Soap Request,200,OK,Number of Users 1-5,text,true,,758,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,374,0,0
1768130014865,373,Soap Request,200,OK,Number of Users 1-2,text,true,,756,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,373,0,0
1768130014895,375,Soap Request,200,OK,Number of Users 1-1,text,true,,750,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,375,0,0
1768130015118,380,Soap Request,200,OK,Number of Users 1-5,text,true,,762,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,380,0,0
1768130014965,658,Soap Request,200,OK,Number of Users 1-4,text,true,,756,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,658,0,0
1768130014793,830,Soap Request,200,OK,Number of Users 1-3,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,830,0,0
1768130015239,384,Soap Request,200,OK,Number of Users 1-2,text,true,,750,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,384,0,0
1768130015271,384,Soap Request,200,OK,Number of Users 1-1,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,384,0,0
1768130015499,379,Soap Request,200,OK,Number of Users 1-5,text,true,,760,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,379,0,0
1768130015624,379,Soap Request,200,OK,Number of Users 1-4,text,true,,758,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,379,0,0
1768130015624,418,Soap Request,200,OK,Number of Users 1-2,text,true,,762,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,418,0,0
1768130015655,409,Soap Request,200,OK,Number of Users 1-1,text,true,,750,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,409,0,0
1768130015879,380,Soap Request,200,OK,Number of Users 1-5,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,380,0,0
1768130015624,723,Soap Request,200,OK,Number of Users 1-3,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,723,0,0
1768130016043,380,Soap Request,200,OK,Number of Users 1-2,text,true,,748,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,380,0,0
1768130016064,380,Soap Request,200,OK,Number of Users 1-1,text,true,,760,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,380,0,0
1768130016259,378,Soap Request,200,OK,Number of Users 1-5,text,true,,750,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,378,0,0
1768130016424,367,Soap Request,200,OK,Number of Users 1-2,text,true,,756,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,367,0,0
1768130016445,367,Soap Request,200,OK,Number of Users 1-1,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,367,0,0
1768130016638,364,Soap Request,200,OK,Number of Users 1-5,text,true,,750,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,364,0,0
1768130016348,786,Soap Request,200,OK,Number of Users 1-3,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,786,0,0
1768130016004,1132,Soap Request,200,OK,Number of Users 1-4,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,1132,0,0
1768130016792,378,Soap Request,200,OK,Number of Users 1-2,text,true,,760,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,378,0,0
1768130016813,376,Soap Request,200,OK,Number of Users 1-1,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,376,0,0
1768130017002,449,Soap Request,200,OK,Number of Users 1-5,text,true,,756,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,449,0,0
1768130017170,362,Soap Request,200,OK,Number of Users 1-2,text,true,,750,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,362,0,0
1768130017190,386,Soap Request,200,OK,Number of Users 1-1,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,386,0,0
1768130017135,659,Soap Request,200,OK,Number of Users 1-3,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,659,0,0
1768130017136,674,Soap Request,200,OK,Number of Users 1-4,text,true,,756,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,674,0,0
1768130017452,363,Soap Request,200,OK,Number of Users 1-5,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,363,0,0
1768130017533,357,Soap Request,200,OK,Number of Users 1-2,text,true,,750,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,357,0,0
1768130017577,393,Soap Request,200,OK,Number of Users 1-1,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,393,0,0
1768130017816,384,Soap Request,200,OK,Number of Users 1-5,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,384,0,0
1768130017891,360,Soap Request,200,OK,Number of Users 1-2,text,true,,750,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,360,0,0
1768130017971,355,Soap Request,200,OK,Number of Users 1-1,text,true,,760,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,355,0,0
1768130018201,356,Soap Request,200,OK,Number of Users 1-5,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,356,0,0
1768130018252,355,Soap Request,200,OK,Number of Users 1-2,text,true,,750,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,355,0,0
1768130017795,828,Soap Request,200,OK,Number of Users 1-3,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,828,0,0
1768130017810,847,Soap Request,200,OK,Number of Users 1-4,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,847,0,0
1768130018327,358,Soap Request,200,OK,Number of Users 1-1,text,true,,756,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,357,0,0
1768130018558,372,Soap Request,200,OK,Number of Users 1-5,text,true,,762,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,372,0,0
1768130018608,366,Soap Request,200,OK,Number of Users 1-2,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,366,0,0
1768130018686,356,Soap Request,200,OK,Number of Users 1-1,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,356,0,0
1768130018931,358,Soap Request,200,OK,Number of Users 1-5,text,true,,750,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,358,0,0
1768130018975,359,Soap Request,200,OK,Number of Users 1-2,text,true,,756,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,359,0,0
1768130019042,358,Soap Request,200,OK,Number of Users 1-1,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,358,0,0
1768130018624,849,Soap Request,200,OK,Number of Users 1-3,text,true,,758,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,848,0,0
1768130018658,824,Soap Request,200,OK,Number of Users 1-4,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,824,0,0
1768130019290,361,Soap Request,200,OK,Number of Users 1-5,text,true,,760,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,361,0,0
1768130019335,360,Soap Request,200,OK,Number of Users 1-2,text,true,,758,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,360,0,0
1768130019400,365,Soap Request,200,OK,Number of Users 1-1,text,true,,758,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,365,0,0
1768130019483,360,Soap Request,200,OK,Number of Users 1-4,text,true,,758,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,360,0,0
1768130019652,361,Soap Request,200,OK,Number of Users 1-5,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,361,0,0
1768130019696,350,Soap Request,200,OK,Number of Users 1-2,text,true,,750,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,350,0,0
1768130019766,358,Soap Request,200,OK,Number of Users 1-1,text,true,,756,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,357,0,0
1768130019473,834,Soap Request,200,OK,Number of Users 1-3,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,834,0,0
1768130020014,365,Soap Request,200,OK,Number of Users 1-5,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,365,0,0
1768130020047,356,Soap Request,200,OK,Number of Users 1-2,text,true,,748,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,356,0,0
1768130020124,361,Soap Request,200,OK,Number of Users 1-1,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,361,0,0
1768130019844,791,Soap Request,200,OK,Number of Users 1-4,text,true,,756,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,791,0,0
1768130020380,350,Soap Request,200,OK,Number of Users 1-5,text,true,,760,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,350,0,0
